,machine_id,site_session_id,domain_id,ref_domain_name,pages_viewed,duration,event_date,event_time,tran_flg,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name,,Non-Product Domain Referrals,
50914,62693728,3.28931E+12,1.35832E+19,online8report.com,2,4,1/15/11,18:36:47,,,,,,,99,2,3,2,2,1,1,1,0,63552,bizzopheaven.com,,lynxtrack.com,67
62219,63310338,3.30788E+12,1.32925E+19,consumer-reporter-news.com,3,3,1/23/11,23:37:43,,,,,,,99,2,6,6,4,1,1,1,0,62471,lanews9.com,,health8news.com,39
62218,63310338,3.30788E+12,1.35832E+19,,6,5,1/23/11,23:37:46,,,,,,,99,2,6,6,4,1,1,1,0,62471,bizzopheaven.com,,consumer-work-journal.com,21
106696,65038494,3.35207E+12,4.13804E+18,yahoo.com,1,1,1/23/11,20:46:26,,,,,,,99,3,6,9,3,1,1,1,0,79107,msicourse.com,,ivaninsiderblog.com,15
107414,65038494,3.4302E+12,4.13804E+18,chan7reports.com,3,6,1/24/11,0:12:38,,,,,,,99,3,6,9,3,1,1,1,0,79107,msicourse.com,,medisrv.com,13
113262,65512254,3.43818E+12,1.04035E+19,,4,7,1/24/11,19:09:59,,,,,,,99,3,2,4,3,1,1,1,0,78412,home-online-jobs.org,,consumerstrickweekly.com,12
124803,66009656,3.47458E+12,1.04035E+19,yahoo.com,1,2,1/18/11,21:57:26,,,,,,,99,1,3,6,3,1,2,1,0,10304,home-online-jobs.org,,new8reports.com,12
134092,66227163,3.36723E+12,6.21294E+18,,9,10,1/16/11,18:22:50,,,,,,,99,2,2,9,2,0,1,1,0,53093,homecashflowsolution.com,,securesslcenter.com,11
145453,66688019,3.26995E+12,1.62795E+19,consumertipsonline.net,22,10,1/8/11,12:44:45,,,,,,,99,1,4,6,5,1,1,1,0,19533,southbeachjava.com,,channel9newsreport.com,10
145454,66688019,3.26995E+12,1.54915E+18,consumertipsonline.net,10,17,1/8/11,12:37:36,,,,,,,99,1,4,6,5,1,1,1,0,19533,getleanspa.com,,news9today.org,9
154336,66778124,3.27164E+12,9.56418E+18,yahoo.com,1,1,1/8/11,0:09:03,,,,,,,99,3,6,5,7,1,1,1,0,78717,bestmoneymakerspro.com,,weeklyinform.com,9
154334,66778124,3.27164E+12,1.04035E+19,bestmoneymakerspro.com,2,0,1/8/11,0:09:07,,,,,,,99,3,6,5,7,1,1,1,0,78717,home-online-jobs.org,,tvneto.com,8
178123,67391035,3.50843E+12,1.46012E+19,,1,1,1/18/11,20:06:09,,,,,,,99,2,2,7,5,1,1,1,0,48075,michigan.gov,,google.com,8
178121,67391035,3.50843E+12,1.07773E+19,,1,1,1/18/11,20:06:10,,,,,,,99,2,2,7,5,1,1,1,0,48075,target.com,,hotbar.com,7
178122,67391035,3.50843E+12,1.00939E+19,,1,1,1/18/11,20:06:28,,,,,,,99,2,2,7,5,1,1,1,0,48075,bigdeal.com,,bestmoneymakerspro.com,6
178124,67391035,3.50843E+12,1.00939E+19,target.com,1,1,1/18/11,15:14:07,,,,,,,99,2,2,7,5,1,1,1,0,48075,bigdeal.com,,mediajmp.com,6
207531,68015481,3.35475E+12,1.61336E+19,,1,1,1/30/11,20:55:37,,,,,,,99,2,5,7,5,1,1,1,0,45311,consumerstrickweekly.com,,safechekpoint.net,6
207530,68015481,3.35475E+12,7.40539E+18,consumerstrickweekly.com,1,1,1/30/11,20:55:39,,,,,,,99,2,5,7,5,1,1,1,0,45311,trackingspot.info,,fdxat8.com,5
228325,68463388,3.31693E+12,1.04035E+19,7tracking.com,5,4,1/8/11,10:48:41,,,,,,,99,3,1,4,3,0,1,1,0,43920,home-online-jobs.org,,go2jump.org,5
230380,68493041,3.33661E+12,1.35423E+18,internetnews10.com,1,1,1/6/11,12:34:23,,,,,,,99,3,2,11,1,1,1,1,0,41642,theinstantwealthbuilder.com,,zugo.com,5
