,index,machine_id,site_session_id,domain_id,ref_domain_name,pages_viewed,duration,event_date,event_time,tran_flg,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name
0,50914,62693728,3289309843393,13583168867183700419,online8report.com,2.0,4,01/15/2011,18:36:47,,,,,,,99,2,3,2,2,1,1,1,0,63552,bizzopheaven.com
1,62218,63310338,3307881893833,13583168867183700419,,6.0,5,01/23/2011,23:37:46,,,,,,,99,2,6,6,4,1,1,1,0,62471,bizzopheaven.com
2,106696,65038494,3352069869513,4138040089195024334,yahoo.com,1.0,1,01/23/2011,20:46:26,,,,,,,99,3,6,9,3,1,1,1,0,79107,msicourse.com
3,107414,65038494,3430200905674,4138040089195024334,chan7reports.com,3.0,6,01/24/2011,0:12:38,,,,,,,99,3,6,9,3,1,1,1,0,79107,msicourse.com
4,113262,65512254,3438175195082,10403549969693689745,,4.0,7,01/24/2011,19:09:59,,,,,,,99,3,2,4,3,1,1,1,0,78412,home-online-jobs.org
5,124803,66009656,3474577035204,10403549969693689745,yahoo.com,1.0,2,01/18/2011,21:57:26,,,,,,,99,1,3,6,3,1,2,1,0,10304,home-online-jobs.org
6,134092,66227163,3367226838978,6212936584531552900,,9.0,10,01/16/2011,18:22:50,,,,,,,99,2,2,9,2,0,1,1,0,53093,homecashflowsolution.com
7,145453,66688019,3269951688634,16279463642511419670,consumertipsonline.net,22.0,10,01/08/2011,12:44:45,,,,,,,99,1,4,6,5,1,1,1,0,19533,southbeachjava.com
8,145454,66688019,3269951754170,1549148620406576784,consumertipsonline.net,10.0,17,01/08/2011,12:37:36,,,,,,,99,1,4,6,5,1,1,1,0,19533,getleanspa.com
9,154334,66778124,3271635898298,10403549969693689745,bestmoneymakerspro.com,2.0,0,01/08/2011,0:09:07,,,,,,,99,3,6,5,7,1,1,1,0,78717,home-online-jobs.org
10,178122,67391035,3508434440132,10093940193322575519,,1.0,1,01/18/2011,20:06:28,,,,,,,99,2,2,7,5,1,1,1,0,48075,bigdeal.com
